hyperlink;postcode;Province;Region;house_is;property_subtype;price;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;building_state
8082789;9000;Flandre Orientale;Flandre;0;APARTMENT;289900.0;2;-1;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;102.0;0.0;80.0;0.0;FALSE;GOOD
8082791;9000;Flandre Orientale;Flandre;0;APARTMENT;329500.0;2;87;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;182.0;0.0;87.0;0.0;FALSE;GOOD
8082795;9000;Flandre Orientale;Flandre;0;APARTMENT;328500.0;2;87;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;171.0;0.0;87.0;0.0;FALSE;GOOD
8082798;9000;Flandre Orientale;Flandre;0;APARTMENT;305500.0;2;84;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;149.0;0.0;84.0;0.0;FALSE;GOOD
8082801;9000;Flandre Orientale;Flandre;0;APARTMENT;299500.0;2;84;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;129.0;0.0;84.0;0.0;FALSE;GOOD
8082805;9000;Flandre Orientale;Flandre;0;APARTMENT;299500.0;2;91;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;21.0;0.0;91.0;0.0;FALSE;GOOD
8082808;9000;Flandre Orientale;Flandre;0;APARTMENT;319900.0;3;94;FALSE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;94.0;0.0;FALSE;GOOD
8082815;9000;Flandre Orientale;Flandre;0;APARTMENT;320500.0;2;96;FALSE;FALSE;FALSE;TRUE;9.0;FALSE;0.0;0.0;96.0;0.0;FALSE;GOOD
8082818;9000;Flandre Orientale;Flandre;0;APARTMENT;314900.0;3;92;FALSE;FALSE;FALSE;TRUE;13.0;FALSE;0.0;0.0;92.0;0.0;FALSE;GOOD
8082822;9000;Flandre Orientale;Flandre;0;APARTMENT;349500.0;3;5;FALSE;FALSE;FALSE;TRUE;29.0;FALSE;0.0;0.0;105.0;0.0;FALSE;GOOD
8082826;9000;Flandre Orientale;Flandre;0;APARTMENT;324900.0;3;94;FALSE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;94.0;0.0;FALSE;GOOD
8082831;9000;Flandre Orientale;Flandre;0;APARTMENT;316900.0;3;92;FALSE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;92.0;0.0;FALSE;GOOD
8082833;9000;Flandre Orientale;Flandre;0;APARTMENT;316900.0;3;92;FALSE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;92.0;0.0;FALSE;GOOD
8082835;9000;Flandre Orientale;Flandre;0;PENTHOUSE;378500.0;2;95;FALSE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;95.0;0.0;FALSE;GOOD
