,hyperlink,postcode,Province,Region,house_is,property_subtype,price,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state
15197,8942261,9820,East Flanders,Flemish Region,0,APARTMENT,315000.0,1,85,True,False,False,True,13.0,True,62.0,0.0,85.0,0.0,False,
15198,8942274,9150,East Flanders,Flemish Region,1,HOUSE,215000.0,4,2,False,False,False,False,0.0,False,,,227.0,,False,
15199,8942276,9800,East Flanders,Flemish Region,1,HOUSE,449000.0,3,231,False,True,False,True,0.0,True,,,842.0,3.0,False,
15200,8942277,9890,East Flanders,Flemish Region,1,HOUSE,469000.0,5,2,False,False,False,True,12.0,True,,,1263.0,4.0,False,
15201,8942289,9120,East Flanders,Flemish Region,0,APARTMENT,235000.0,2,89,False,False,False,True,16.0,False,,,,,False,
15202,8942290,9120,East Flanders,Flemish Region,0,APARTMENT,174500.0,1,57,False,False,False,True,12.0,True,29.0,,,,False,
15203,8942404,9506,East Flanders,Flemish Region,1,HOUSE,159000.0,3,96,False,False,False,True,40.0,True,200.0,,288.0,4.0,False,
15204,8942406,9500,East Flanders,Flemish Region,1,HOUSE,239000.0,2,1,False,False,False,True,15.0,True,30.0,130.0,130.0,0.0,False,AS_NEW
15205,8942414,9340,East Flanders,Flemish Region,1,HOUSE,319000.0,3,1,True,False,False,True,30.0,True,350.0,529.0,529.0,0.0,False,GOOD
15206,8942442,9620,East Flanders,Flemish Region,1,HOUSE,339000.0,3,176,True,False,False,True,0.0,False,,,381.0,3.0,False,
15207,8942448,9000,East Flanders,Flemish Region,0,APARTMENT,205000.0,1,55,False,False,False,False,0.0,False,0.0,0.0,55.0,0.0,False,AS_NEW
15208,8942449,9000,East Flanders,Flemish Region,0,APARTMENT,420000.0,2,-1,False,False,False,True,0.0,False,0.0,0.0,0.0,0.0,False,AS_NEW
15209,8942451,9230,East Flanders,Flemish Region,1,HOUSE,245000.0,2,81,True,False,False,True,0.0,False,,,,,False,
15210,8942523,9310,East Flanders,Flemish Region,1,HOUSE,525000.0,4,285,True,False,False,True,0.0,False,,,672.0,4.0,False,
15211,8942610,9120,East Flanders,Flemish Region,1,VILLA,549000.0,6,231,True,False,False,True,20.0,True,1448.0,,1448.0,4.0,False,
15212,8942652,9940,East Flanders,Flemish Region,1,HOUSE,239000.0,3,1,True,False,False,True,0.0,False,0.0,267.0,267.0,0.0,False,AS_NEW
15213,8942653,9000,East Flanders,Flemish Region,1,MANSION,695000.0,4,224,True,False,False,False,0.0,True,40.0,143.0,75.0,0.0,False,AS_NEW
15214,8942695,9940,East Flanders,Flemish Region,1,HOUSE,439000.0,3,165,True,False,False,False,0.0,False,,,2034.0,,False,
15215,8942727,9300,East Flanders,Flemish Region,0,APARTMENT,299000.0,3,133,True,False,False,False,0.0,False,0.0,0.0,133.0,0.0,False,AS_NEW
15216,8942728,9400,East Flanders,Flemish Region,0,APARTMENT,275000.0,2,1,True,False,False,True,0.0,False,0.0,0.0,110.0,0.0,False,AS_NEW
15217,8942730,9470,East Flanders,Flemish Region,0,APARTMENT,259000.0,2,99,True,False,False,True,0.0,False,0.0,0.0,99.0,0.0,False,AS_NEW
15218,8942733,9200,East Flanders,Flemish Region,1,HOUSE,249000.0,3,122,False,False,False,False,0.0,False,,,168.0,,False,
15219,8942737,9050,East Flanders,Flemish Region,0,APARTMENT,235000.0,3,112,False,False,False,False,0.0,False,,,,,False,
15220,8942738,9230,East Flanders,Flemish Region,0,APARTMENT,235000.0,2,-1,False,False,False,True,11.0,False,,,,,False,
